/data5/store1/wry-u22/anaconda3/envs/py311/lib/python3.11/site-packages/torch_geometric/deprecation.py:26: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
cuda
Epoch   1 | Loss: 263.514782
Epoch   2 | Loss: 248.078114
Epoch   3 | Loss: 247.470730
Epoch   4 | Loss: 246.396278
Epoch   5 | Loss: 246.359838
Epoch   6 | Loss: 246.444048
Epoch   7 | Loss: 246.516562
Epoch   8 | Loss: 246.265923
Epoch   9 | Loss: 246.390182
Epoch  10 | Loss: 246.372896
Epoch  11 | Loss: 246.412043
Epoch  12 | Loss: 246.824396
Epoch  13 | Loss: 246.426313
Epoch  14 | Loss: 246.340250
Epoch  15 | Loss: 246.427706
Epoch  16 | Loss: 246.323622
Epoch  17 | Loss: 246.177881
Epoch  18 | Loss: 246.372023
Epoch  19 | Loss: 246.370413
Epoch  20 | Loss: 245.838840
Epoch  21 | Loss: 245.943758
Epoch  22 | Loss: 245.991385
Epoch  23 | Loss: 245.865007
Epoch  24 | Loss: 245.428511
Epoch  25 | Loss: 244.134954
Epoch  26 | Loss: 238.760460
Epoch  27 | Loss: 222.693737
Epoch  28 | Loss: 181.186291
Epoch  29 | Loss: 162.524303
Epoch  30 | Loss: 148.584827
Epoch  31 | Loss: 141.472815
Epoch  32 | Loss: 135.984850
Epoch  33 | Loss: 133.667618
Epoch  34 | Loss: 132.732746
Epoch  35 | Loss: 131.458937
Epoch  36 | Loss: 131.242433
Epoch  37 | Loss: 130.191760
Epoch  38 | Loss: 128.466444
Epoch  39 | Loss: 127.032574
Epoch  40 | Loss: 125.593447
Epoch  41 | Loss: 125.100823
Epoch  42 | Loss: 123.924471
Epoch  43 | Loss: 122.814008
Epoch  44 | Loss: 121.695588
Epoch  45 | Loss: 121.117342
Epoch  46 | Loss: 119.651536
Epoch  47 | Loss: 118.258276
Epoch  48 | Loss: 116.145457
Epoch  49 | Loss: 114.701252
Epoch  50 | Loss: 112.571024
Epoch  51 | Loss: 110.143439
Epoch  52 | Loss: 108.558738
Epoch  53 | Loss: 104.782783
Epoch  54 | Loss: 102.278783
Epoch  55 | Loss: 100.363776
Epoch  56 | Loss: 104.370735
Epoch  57 | Loss: 103.034777
Epoch  58 | Loss: 95.138581
Epoch  59 | Loss: 90.993692
Epoch  60 | Loss: 88.840429
Epoch  61 | Loss: 86.047290
Epoch  62 | Loss: 85.490548
Epoch  63 | Loss: 82.880846
Epoch  64 | Loss: 81.659297
Epoch  65 | Loss: 80.162690
Epoch  66 | Loss: 75.792806
Epoch  67 | Loss: 73.019030
Epoch  68 | Loss: 72.530087
Epoch  69 | Loss: 68.255776
Epoch  70 | Loss: 66.707880
Epoch  71 | Loss: 64.051176
Epoch  72 | Loss: 63.253928
Epoch  73 | Loss: 62.977005
Epoch  74 | Loss: 59.622771
Epoch  75 | Loss: 66.147321
Epoch  76 | Loss: 63.363436
Epoch  77 | Loss: 64.643718
Epoch  78 | Loss: 61.969724
Epoch  79 | Loss: 62.234730
Epoch  80 | Loss: 54.549355
Epoch  81 | Loss: 52.275166
Epoch  82 | Loss: 51.670069
Epoch  83 | Loss: 51.642920
Epoch  84 | Loss: 50.594402
Epoch  85 | Loss: 50.144886
Epoch  86 | Loss: 49.421709
Epoch  87 | Loss: 49.492482
Epoch  88 | Loss: 48.567180
Epoch  89 | Loss: 48.030729
Epoch  90 | Loss: 48.395971
Epoch  91 | Loss: 53.412164
Epoch  92 | Loss: 49.404590
Epoch  93 | Loss: 46.925591
Epoch  94 | Loss: 46.919305
Epoch  95 | Loss: 49.433829
Epoch  96 | Loss: 58.140827
Epoch  97 | Loss: 57.321168
Epoch  98 | Loss: 49.515032
Epoch  99 | Loss: 46.366762
Epoch 100 | Loss: 45.168979
Epoch 101 | Loss: 44.473539
Epoch 102 | Loss: 44.016025
Epoch 103 | Loss: 44.791666
Epoch 104 | Loss: 45.083009
Epoch 105 | Loss: 44.673519
Epoch 106 | Loss: 43.470339
Epoch 107 | Loss: 42.679029
